p_id,agent_type,place,agent_mape
2017000915514-37201,wrk_only,south_jordan,71.33245856895277
2016000232537-4512401,wrk_only,south_jordan,71.28730936820999
2015000975217-4453502,wrk_only,south_jordan,71.20854627823692
2015000289881-4299205,wrk_only,taylorsville,71.19470297586892
2015000775774-2997703,wrk_only,south_jordan,71.19143240390827
2015000597560-706206,wrk_only,west_jordan,71.1852261738522
2015000795420-5335901,wrk_only,south_jordan,71.06818516175768
2019HU1132535-3055505,wrk_only,south_jordan,71.06779188144327
2015001289689-3062101,wrk_only,south_jordan,71.06326470015767
2015000197947-4073802,wrk_only,south_jordan,71.0592922562165
2015000569659-4417701,wrk__student,south_jordan,70.98565422083799
2015000443633-4410701,wrk_only,south_jordan,70.98499189894201
2016000401238-5345907,wrk_only,riverton,70.94606569741367
2016000514659-1397305,childcare,unknown,70.94210998514511
2016000693870-1568302,wrk_only,west_jordan,70.93331366634548
2016001046856-3687801,wrk_only,riverton,70.88089103044918
2016000905842-3433301,wrk_only,unknown,70.8767865988269
2015000988698-3673801,wrk_only,riverton,70.84849839055494
2015000377474-5238501,wrk_only,riverton,70.83132257432277
2015000578728-4233101,wrk_only,west_valley_city,70.78057393136368
2015000968516-4445501,wrk__student,south_jordan,70.76600219741583
2015000184654-1376801,wrk_only,unknown,70.75260546270869
2017000424387-4339801,wrk_only,unknown,70.73451131627807
2015000236871-1231602,wrk_only,west_jordan,70.6732536584338
2015000964539-3673501,wrk_only,riverton,70.67102651711201
2015000968516-4448302,wrk__student,south_jordan,70.6431514649649
2015000698649-3414404,student__lf_elig,unknown,70.61433465379956
2015000379300-5450602,wrk_only,murray,70.56058293894688
2018HU1311373-4044902,wrk_only,riverton,70.49890056165944
2018HU0278220-2281101,wrk_only,west_jordan,70.45058875803102
2015001283163-1234601,wrk_only,west_jordan,70.44729151265058
2015000289881-1965305,wrk_only,west_valley_city,70.38577659249728
2016000905842-3433303,student__lf_elig,unknown,70.36061178444749
2015001425083-148301,wrk_only,west_jordan,70.31820971025027
2015001291036-3550302,wrk__student,west_jordan,70.2976764715916
2017000622416-188701,wrk__student,west_valley_city,70.27336508576388
2015000836519-1241501,wrk_only,riverton,70.26821319462391
2015000283438-181403,wrk__student,west_jordan,70.24569412191781
2015000510272-704502,wrk_only,west_jordan,70.23267292374184
2015000296294-3686401,wrk_only,taylorsville,70.20788315812652
2017000343233-1093503,wrk__student,herriman,70.20277847843155
2015000084831-2840908,wrk_only,south_jordan,70.19376479740347
2017000343233-1093403,wrk__student,herriman,70.17998654182487
2016000709834-1365001,wrk_only,taylorsville,70.14863180256702
2018HU0411126-3040702,wrk_only,taylorsville,70.13639732112699
2015000849835-2769801,wrk_only,south_jordan,70.09792016191314
2016000282463-1698902,wrk_only,sandy,70.092608779272
2019HU0809176-2943101,wrk_only,south_jordan,70.06559750621471
2015000371231-701601,wrk_only,riverton,70.03789252186304
2018HU0016864-4034602,wrk_only,riverton,70.0341961565813
2016000186805-2312102,wrk_only,west_valley_city,70.00339466218102
2016001075346-2492401,wrk_only,west_jordan,69.98482168522503
2017000188481-3133602,wrk_only,salt_lake_city,69.97902135821865
2015000864990-73908,wrk_only,west_valley_city,69.9554466942351
2015000868644-5244102,wrk_only,riverton,69.94226866833803
2015000668785-1383604,student__age05_09,unknown,69.92458521557397
2016000434687-3183702,wrk_only,herriman,69.90870694098226
2016000014485-3455602,wrk_only,south_jordan,69.89938283773543
2015000606502-5241001,wrk_only,riverton,69.87697525926632
2015000426281-1232802,wrk_only,herriman,69.76646682443626
2015000288242-3151603,wrk_only,murray,69.72902843032995
2015001228075-428301,wrk_only,west_jordan,69.71309650515312
2015000452644-3220903,wrk_only,taylorsville,69.64497791719073
2015000663262-2225501,wrk__student,west_jordan,69.63465403585913
2015000639666-680101,wrk_only,west_jordan,69.59961763450676
2015000332778-1229001,wrk_only,riverton,69.59233846840975
2015001225263-4122501,wrk_only,south_jordan,69.558486213337
2018HU0410611-3768305,wrk_only,sandy,69.55400298720924
2015000443633-2681404,wrk_only,south_jordan,69.53419058502246
2015000151103-956001,wrk_only,murray,69.51494938516647
2015000632959-3296804,wrk_only,south_jordan,69.50565664624729
2015000055134-1419502,wrk_only,sandy,69.48088325148592
2016000718258-2843601,wrk_only,west_valley_city,69.41930072449306
2015001325441-3304107,wrk_only,south_jordan,69.39813996746244
2018HU0878616-3984802,wrk_only,riverton,69.38320337095615
2015000006204-555202,wrk_only,west_valley_city,69.3650423798306
2016001339151-4008003,wrk__student,south_salt_lake,69.35043294723027
2019HU0862244-4936501,wrk_only,south_jordan,69.33767162673271
2015000426281-1232902,wrk_only,herriman,69.28240156834597
2015000041604-2529003,wrk_only,west_valley_city,69.26498365051229
